CityID;CityName;StateProvinceID;Latitude;Longitude;LatestRecordedPopulation
562;Almy;53;41.3316124;-111.0046287;NULL
563;Almyra;4;34.4062094;-91.4095682;283
564;Alna;20;44.1061869;-69.6036567;NULL
565;Alnwick;44;35.7481373;-84.0376846;NULL
566;Aloe;45;28.7666576;-97.0760994;NULL
567;Aloha;19;31.5832265;-92.7723743;NULL
568;Aloha;38;45.4942838;-122.8670454;49425
569;Alorton;14;38.589773;-90.1201087;2002
570;Alpaugh;5;35.8877316;-119.4873422;1026
571;Alpena;4;36.2947919;-93.2921262;392
572;Alpena;43;44.1813767;-98.365646;286
573;Alpena;23;45.0616794;-83.4327528;10483
574;Alpha;31;40.6670439;-75.1573972;2369
575;Alpha;24;43.6388459;-94.8708195;116
576;Alpha;23;46.0438421;-88.3770789;145
577;Alpha;14;41.1917031;-90.3801274;671
578;Alpha;36;39.7117263;-84.0232671;NULL
579;Alpharetta;11;34.0753762;-84.2940899;57551
580;Alpine;5;32.8350521;-116.7664109;14236
581;Alpine;46;40.4532834;-111.7779865;9555
582;Alpine;31;40.9559316;-73.9312478;1849
583;Alpine;44;36.3947865;-85.2169065;NULL
584;Alpine;15;39.5539375;-85.1757968;NULL
585;Alpine;33;42.3131298;-76.7241178;NULL
586;Alpine;4;34.2289863;-93.3790695;1849
587;Alpine;6;37.6891702;-106.58893;174
588;Alpine;53;43.163531;-111.018017;828
589;Alpine;45;30.3584919;-103.6610115;5905
590;Alpine;3;33.8481076;-109.1431325;145
591;Alpine;38;44.3301223;-123.3603767;171
592;Alquina;15;39.6128262;-85.0546845;NULL
593;Alsace Manor;39;40.3998156;-75.8604799;478
594;Alsatia;19;32.6129138;-91.1823318;NULL
595;Alsea;38;44.3815098;-123.5964942;164
596;Alsen;19;30.5712989;-91.204275;NULL
597;Alsen;35;48.6305626;-98.7048488;35
598;Alsey;14;39.5606027;-90.4340126;227
599;Alsip;14;41.6689223;-87.7386619;19277
600;Alstead;30;43.1489663;-72.3606431;NULL
601;Alston;11;32.080743;-82.4776303;159
602;Alstown;50;47.5609642;-119.9950603;NULL
603;Alsuma;37;36.0990443006;-95.8873839885;NULL
604;Alta;46;40.5888394;-111.6379793;383
605;Alta;5;39.2065652;-120.8113268;610
606;Alta;53;43.7538103;-111.0368866;394
607;Alta;16;42.6718103596;-95.297361162;1883
608;Alta Loma;5;34.1222317;-117.5981086;NULL
609;Alta Sierra;5;39.1415618;-121.0538368;6911
610;Alta Vista;16;43.1985819;-92.4171216;266
611;Alta Vista;17;38.8638916;-96.4891678;444
612;Altadena;5;34.1897275;-118.1311819;42777
613;Altair;45;29.5713505;-96.4541355;NULL
614;Altamahaw;34;36.1843016;-79.5072461;347
615;Altamont;26;39.8886155;-94.0891132;204
616;Altamont;38;42.2068123;-121.737224;19257
617;Altamont;44;35.4295186;-85.7230316;1045
618;Altamont;14;39.061988;-88.7481108;2319
619;Altamont;17;37.1903448;-95.2971928;1080
620;Altamont;43;44.8396869;-96.6895039;34
621;Altamont;33;42.7006324;-74.0337382;1720
622;Altamont;53;41.1921696;-110.7896187;NULL
623;Altamont;46;40.359398;-110.2862683;225
624;Altamonte Springs;10;28.6611089;-81.3656243;41496
625;Altaville;5;38.0838106;-120.5618692;NULL
626;Altavista;49;37.1118094;-79.285579;3450
627;Altenburg;26;37.6308839;-89.5853764;352
628;Altha;10;30.5704721;-85.1271442;536
629;Altheimer;4;34.3192636;-91.8473565;984
630;Altmar;33;43.5100703;-76.002142;407
631;Alto;11;34.4673222;-83.5737843;1172
632;Alto;52;43.6766529;-88.7951092;NULL
633;Alto;19;32.3576468;-91.8598506;NULL
634;Alto;32;33.3986919;-105.6808185;NULL
635;Alto;45;31.6504546;-95.0727175;1225
636;Alto;23;42.8566988;-85.3802937;NULL
637;Alto Pass;14;37.5703276;-89.3175879;391
638;Alton;15;38.122564;-86.4177559;55
639;Alton;26;36.6942252;-91.3993039;871
640;Alton;16;42.9874869;-96.0105735;1216
641;Alton;17;39.4708437;-98.9481389;103
642;Alton;14;38.8906038;-90.1842764;27865
643;Alton;20;45.0464538;-68.7703126;NULL
644;Alton;10;30.0530017;-83.1379122;NULL
645;Alton;30;43.4523018;-71.2175671;501
646;Alton;46;37.4377602;-112.4827077;119
647;Alton;45;26.2872931;-98.3133487;12341
648;Alton;19;30.3307493;-89.762008;NULL
649;Alton;18;38.0889622;-84.9349514;NULL
650;Alton;49;36.5731952;-79.0027897;NULL
651;Altona;33;44.8883722;-73.6556985;730
652;Altona;15;41.3514383;-85.1549719;197
653;Altona;14;41.1147594;-90.1645637;531
654;Altoona;10;28.9658193;-81.6486855;89
655;Altoona;1;34.0262082;-86.3260923;933
656;Altoona;52;44.8046825;-91.4432148;6706
657;Altoona;39;40.5186809;-78.3947359;46320
658;Altoona;16;41.6441557;-93.4646571;14541
659;Altoona;17;37.5239434;-95.6613696;414
660;Altoona;50;46.2667745;-123.6562504;39
661;Altura;24;44.0716301;-91.9396022;493
662;Alturas;5;41.4871146;-120.5424555;2827
663;Alturas;10;27.871693;-81.7150798;4185
664;Altus;37;34.6420729006;-99.3577584885;19813
665;Altus;4;35.4461965;-93.7624172;758
666;Alum Bridge;51;39.0392579;-80.6550976;NULL
667;Alum Creek;51;38.2867627;-81.8051268;1749
668;Alum Rock;5;37.3660513;-121.8271756;15536
669;Alva;37;36.8089782006;-98.6902567885;4945
670;Alva;10;26.7156236;-81.6100797;2596
671;Alva;53;44.6947071;-104.4413419;NULL
672;Alva;18;36.7350862;-83.424354;NULL
673;Alvan;14;40.3070286;-87.606903;270
674;Alvarado;45;32.4065312;-97.2116782;3785
675;Alvarado;24;48.1941477;-96.9961813;363
676;Alvaton;18;36.8733754;-86.3530456;NULL
677;Alvaton;11;33.1709559;-84.5804828;NULL
678;Alvin;14;40.3083697;-87.6083537;NULL
679;Alvin;45;29.4238472;-95.2441009;24236
680;Alvin;52;45.9849576;-88.8292948;NULL
681;Alvin;42;33.3490559;-79.8161857;NULL
682;Alvo;28;40.8719438;-96.38751;132
